date,open,high,low,close,volume,yfinance_symbol,symbol,name_zh,market
2024-09-12,222.5,223.5500030517578,219.82000732421875,222.77000427246094,37455600,AAPL,AAPL,蘋果,US
2024-09-13,223.5800018310547,224.0399932861328,221.91000366210938,222.5,36766600,AAPL,AAPL,蘋果,US
2024-09-16,216.5399932861328,217.22000122070312,213.9199981689453,216.32000732421875,59357400,AAPL,AAPL,蘋果,US
2024-09-17,215.75,216.89999389648438,214.5,216.7899932861328,45519300,AAPL,AAPL,蘋果,US
2024-09-18,217.5500030517578,222.7100067138672,217.5399932861328,220.69000244140625,59894900,AAPL,AAPL,蘋果,US
2024-09-19,224.99000549316406,229.82000732421875,224.6300048828125,228.8699951171875,66781300,AAPL,AAPL,蘋果,US
2024-09-20,229.97000122070312,233.08999633789062,227.6199951171875,228.1999969482422,318679900,AAPL,AAPL,蘋果,US
2024-09-23,227.33999633789062,229.4499969482422,225.80999755859375,226.47000122070312,54146000,AAPL,AAPL,蘋果,US
2024-09-24,228.64999389648438,229.35000610351562,225.72999572753906,227.3699951171875,43556100,AAPL,AAPL,蘋果,US
2024-09-25,224.92999267578125,227.2899932861328,224.02000427246094,226.3699951171875,42308700,AAPL,AAPL,蘋果,US
2024-09-26,227.3000030517578,228.5,225.41000366210938,227.52000427246094,36636700,AAPL,AAPL,蘋果,US
2024-09-27,228.4600067138672,229.52000427246094,227.3000030517578,227.7899932861328,34026000,AAPL,AAPL,蘋果,US
2024-09-30,230.0399932861328,233.0,229.64999389648438,233.0,54541900,AAPL,AAPL,蘋果,US
2024-10-01,229.52000427246094,229.64999389648438,223.74000549316406,226.2100067138672,63285000,AAPL,AAPL,蘋果,US
2024-10-02,225.88999938964844,227.3699951171875,223.02000427246094,226.77999877929688,32880600,AAPL,AAPL,蘋果,US
2024-10-03,225.13999938964844,226.80999755859375,223.32000732421875,225.6699981689453,34044200,AAPL,AAPL,蘋果,US
2024-10-04,227.89999389648438,228.0,224.1300048828125,226.8000030517578,37245100,AAPL,AAPL,蘋果,US
2024-10-07,224.5,225.69000244140625,221.3300018310547,221.69000244140625,39505400,AAPL,AAPL,蘋果,US
2024-10-08,224.3000030517578,225.97999572753906,223.25,225.77000427246094,31855700,AAPL,AAPL,蘋果,US
2024-10-09,225.22999572753906,229.75,224.8300018310547,229.5399932861328,33591100,AAPL,AAPL,蘋果,US
2024-10-10,227.77999877929688,229.5,227.1699981689453,229.0399932861328,28183500,AAPL,AAPL,蘋果,US
2024-10-11,229.3000030517578,229.41000366210938,227.33999633789062,227.5500030517578,31759200,AAPL,AAPL,蘋果,US
2024-10-14,228.6999969482422,231.72999572753906,228.60000610351562,231.3000030517578,39882100,AAPL,AAPL,蘋果,US
2024-10-15,233.61000061035156,237.49000549316406,232.3699951171875,233.85000610351562,64751400,AAPL,AAPL,蘋果,US
2024-10-16,231.60000610351562,232.1199951171875,229.83999633789062,231.77999877929688,34082200,AAPL,AAPL,蘋果,US
2024-10-17,233.42999267578125,233.85000610351562,230.52000427246094,232.14999389648438,32993800,AAPL,AAPL,蘋果,US
2024-10-18,236.17999267578125,236.17999267578125,234.00999450683594,235.0,46431500,AAPL,AAPL,蘋果,US
2024-10-21,234.4499969482422,236.85000610351562,234.4499969482422,236.47999572753906,36254500,AAPL,AAPL,蘋果,US
2024-10-22,233.88999938964844,236.22000122070312,232.60000610351562,235.86000061035156,38846600,AAPL,AAPL,蘋果,US
2024-10-23,234.0800018310547,235.13999938964844,227.75999450683594,230.75999450683594,52287000,AAPL,AAPL,蘋果,US
2024-10-24,229.97999572753906,230.82000732421875,228.41000366210938,230.57000732421875,31109500,AAPL,AAPL,蘋果,US
2024-10-25,229.74000549316406,233.22000122070312,229.57000732421875,231.41000366210938,38802300,AAPL,AAPL,蘋果,US
2024-10-28,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438,36087100,AAPL,AAPL,蘋果,US
2024-10-29,233.10000610351562,234.3300018310547,232.32000732421875,233.6699981689453,35417200,AAPL,AAPL,蘋果,US
2024-10-30,232.61000061035156,233.47000122070312,229.5500030517578,230.10000610351562,47070900,AAPL,AAPL,蘋果,US
2024-10-31,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938,64370100,AAPL,AAPL,蘋果,US
2024-11-01,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938,65276700,AAPL,AAPL,蘋果,US
2024-11-04,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594,44944500,AAPL,AAPL,蘋果,US
2024-11-05,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,AAPL,AAPL,蘋果,US
2024-11-06,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,54561100,AAPL,AAPL,蘋果,US
2024-11-07,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753906,42137700,AAPL,AAPL,蘋果,US
2024-11-08,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,38328800,AAPL,AAPL,蘋果,US
2024-11-11,225.0,225.6999969482422,221.5,224.22999572753906,42005600,AAPL,AAPL,蘋果,US
2024-11-12,224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906,40398300,AAPL,AAPL,蘋果,US
